,Positive,Negative,Dates
0,59.0,25.0,2021-10
1,61.0,27.0,2021-11
2,65.0,26.0,2021-12
3,59.0,30.0,2022-01
4,55.0,31.0,2022-02
5,61.0,27.0,2022-03
6,64.0,27.0,2022-04
7,66.0,23.0,2022-05
8,60.0,32.0,2022-06
9,58.0,32.0,2022-07
10,57.0,35.0,2022-08
11,43.0,49.0,2022-09
12,42.0,49.0,2022-10
13,37.0,55.0,2022-11
14,35.0,57.0,2022-12
15,39.0,54.0,2023-01
16,43.0,49.0,2023-02
17,48.0,44.0,2023-03
18,52.0,40.0,2023-04
19,47.0,44.0,2023-05
20,39.0,51.0,2023-06
21,40.0,51.0,2023-07
22,42.0,50.0,2023-08
23,42.0,51.0,2023-09
24,33.0,59.0,2023-10
25,30.0,62.0,2023-11
26,26.0,68.0,2023-12
27,27.0,66.0,2024-01
28,25.0,67.0,2024-02
29,26.0,66.0,2024-03
30,26.0,69.0,2024-04
31,28.0,67.0,2024-05
32,25.0,67.0,2024-06
